url,name,activity,Beam,Business Address,Call sign,Carrying capacity (t),Company,Depth,Engine power (HP),Fish hold volume (m3),Fish hold volume confirmation date,Flag,Gear,Gross tonnage,IATTC Vessel Number,IMONO,Length,Managing Company,Managing Company Address,Notes,Port of registration,Previous Flag,Previous name,Registration number,Shipyard,Year built
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12466&Lang=en,Reina De La Paz,Authorized to fishActive,12.19,Av. Juan Tanca Marengo y Av. José OrrantiaEdif. Executive CenterOf. 709 piso 7GuayaquilEcuador,3EFR6,1500,"Mar Pacifico Tuna, S.A.",8.8,NA,2100,1 Jan 2017,Panama,Purse seine,2232,12466,9545792,80.6,"Reina De La Paz, S.A.",NA,This vessel has been chartered with a temporary transfer of capacity from Guatemala (2100 m3).,NA,Guatemala - Change to Panama notified on 23 Jul 2012 (recorded on 27 Jul 2012)  - Vessel name at time of change:  Reina De La Paz,NA,NA,AstillerosyMaestranzas de la ArmadaChile,2006
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12491&Lang=en,Ignacio Mar I,Authorized to fishActive,7.92,Av. 2 Entres Calle 11 y 12Edif. Banco del PichinchaMantaEcuador,HC2513,316,"Tuna Export, S.A.",4.38,1400,372,1 Nov 2014,Ecuador,Purse seine,395,12491,7015597,49.5,NA,NA,NA,Manta,NA,NA,P-04-00792,NA,1971
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=12905&Lang=en,New Stella,Authorized to fishActive,6.7,"888 South Ways StreetSan Pedro, CA 90731United States",WDB9688,63,"Cal Crystal Sea, LLC",2.56,376,88,1 Jan 2017,United States,Purse seine,64,12905,NA,17.67,NA,NA,NA,Monterey (USA),NA,NA,598813,NA,1978
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13257&Lang=en,Crystal Sea,Authorized to fishActive,7.92,"888 South Ways StreetSan Pedro, CA 90731United States",WDC4959,82,"Cal Crystal Sea, LLC",3.65,750,115,1 Jan 2017,United States,Purse seine,124,13257,8990847,20.72,NA,NA,NA,Ventura,NA,NA,1061917,Hoy's Marine,1997
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13554&Lang=en,Dominador I,Authorized to fishActive,10.12,Bocagrande Cr 3 #6A-100Edificio Torre EmpresarialProtección Of 10-01CartagenaColombia,HKMO,400,Oxbridge Commercial Corporation,4.86,1400,421,21 Jun 2013,Colombia,Purse seine,1010,13554,9505962,36.88,NA,NA,NA,Cartagena,NA,NA,MC-05-608,Astilleros Marco Chilena Limitada,2007
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13561&Lang=en,El Conde,Authorized to fishActive,8.55,Km 3 1/2 Via MantaMontecristiEcuador,HC4944,190,"B & B Tune Suppliers, S.A.",6.44,1300,231,3 Oct 2008,Ecuador,Purse seine,246,13561,7017777,33.33,NA,NA,NA,Manta,NA,NA,P-04-00807,"Ferguson Industries, Ltd.",1972
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13564&Lang=en,Doña Maruja,Authorized to fishActive,9.12,Barrio La Ensenadita - Calle 4MantaEcuador,HC5081,368,"Pesquera Atunes Del Pacifico, S.A.",6.4,1368,515,25 Feb 2015,Ecuador,Purse seine,566,13564,8502262,48.5,NA,NA,NA,Manta,Panama - Change to Ecuador notified on 15 May 2009 (recorded on 22 May 2009)  - Vessel name at time of change:  White Dove Too,White Dove Too - Change to Doña Maruja notified on 14 Dec 2009 (recorded on 10 Feb 2010)  - Flag at time of change: Ecuador,P-04-00847,NA,1994
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13623&Lang=en,Cap. Tino B.,Authorized to fishActive,9.14,Km 3 1/2 Via MantaMontecristiEcuador,HC4996,234,"B & B Tune Suppliers, S.A.",3.99,800,328,1 Jan 2017,Ecuador,Purse seine,369,13623,7025267,34.98,NA,NA,NA,Manta,NA,Apolo III - Change to Cap. Tino B. notified on 20 Jan 2009 (recorded on 5 Mar 2009)  - Flag at time of change: Ecuador,P-04-00820,"Ferguson Industries, Ltd.",1970
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=13720&Lang=en,Ocean Lady,Authorized to fishActive,9.14,"Edf. FilanbancoPiso 4, Ofic. #4MantaEcuador",HC-5023,270,"Pescimera, S.A.",4.65,NA,239,1 Jan 2017,Ecuador,Purse seine,426,13720,7927817,33.6,NA,NA,NA,NA,NA,NA,P-04-00825,"Ferguson Industries, Ltd.",1975
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14405&Lang=en,Diana Maria,Authorized to fishActive,8.48,Km 4 1/2 via Manta Rocafuertefrente a gasolina Masgas canto Jaramijoprovincia ManabiEcuador,HC2893,191,"Fishcorp, S.A.",3.7,NA,255,20 Jan 2012,Ecuador,Purse seine,230,14405,7112280,36.73,NA,NA,NA,Guayaquil,NA,NA,P-00-00606,NA,NA
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14413&Lang=en,Isabella,Authorized to fishActive,12.8,"7850 N.W. South River DriveMedley, FL 33166United States",WDE5192,894,"AACH Holding Company No. 2, LLC",8.44,4000,1251,16 Jul 2010,United States,Purse seine,1509,14413,8111465,62.39,NA,NA,NA,Pago Pago,NA,NA,1212240,Ateliers et Chantiers delaManche,1982
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14422&Lang=en,Tuna I,Authorized to fishActive,7.92,Av. 2 Entres Calle 11 y 12Edif. Banco del PichinchaMantaEcuador,HC2516,220,"Tuna Export, S.A.",4.75,850,310,1 Nov 2014,Ecuador,Purse seine,356,14422,7015585,45.1,NA,NA,NA,Manta,NA,NA,P-04-00834,NA,1970
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14592&Lang=en,Amada Isabel,Authorized to fishActive,10,NA,HC5171,522,"Piscantur, S.A.",4.57,1750,731,1 Jan 2017,Ecuador,Purse seine,1058,14592,8748361,56.94,NA,NA,NA,NA,NA,Jose Armando - Change to Amada Isabel effective on 20 Nov 2017 (recorded on 10 Jan 2018)  - Flag at time of change: Ecuador,P-04-00869,Maridueña,2010
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14603&Lang=en,American Victory,Authorized to fishActive,13.6,"3825 Henderson Blvd., Suite 305Tampa, FL 33629United States",WDE6234,1050,"American Legacy Fishing, LLC",7.45,3200,1522,22 Apr 2014,United States,Purse seine,1534,14603,9556674,75.33,NA,NA,NA,Pago Pago,NA,NA,1215847,"Ching Fu Shipbuilding Company, Ltd.",2008
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14604&Lang=en,Friesland,Authorized to fishActive,14.33,"2535 Kettner Blvd #1A2San Diego, CA 92101United States",WDE6789,1179,"Friesland Fishing Company, LLC",8.78,4500,2100,1 Jan 2017,United States,Purse seine,2210,14604,9310953,77.82,NA,NA,NA,Las Vegas,NA,NA,1216624,"Ching Fu Shipbuilding Company, Ltd.",2004
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14619&Lang=en,Fortica,Authorized to fishActive,8.23,Kilometro 5 1/2 via MantaRocafuerteMantaEcuador,HC5135,154,"Pesdel, S.A.",4.12,850,216,16 May 2012,Ecuador,Purse seine,258,14619,7919860,33.28,NA,NA,NA,Manta,NA,NA,P-04-00852,John Manly Shipyard,1979
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14689&Lang=en,Milenka C,Authorized to fishActive,10,Av. 4 y Calle 7 Edificio Torre CentroMantaEcuador,HC5530,375,"Pesquera Milenka, C.S.A.",4.4,1200,500,18 Mar 2014,Ecuador,Purse seine,700,14689,8669606,46,NA,NA,NA,Manta,NA,Milenka - Change to Milenka C notified on 24 Apr 2013 (recorded on 25 Apr 2013)  - Flag at time of change: Ecuador,P-04-00951,Astillero Industrial Naval de Mazatlán,2000
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14690&Lang=en,PS-1,Authorized to fishActive,10,"Km 9 y Medio via Manta Portoviejo a 300 mts del Redondel de ColoradoVia CircunvalacioMontecristi, ManabiEcuador",HC5479,571,"Atún Estribela, S.A.",6.6,1800,"706   (Total capacity: 800m3. Sealed well(s): P1, S1.)",21 Dec 2018,Ecuador,Purse seine,865,14690,9719082,56.8,NA,NA,300 m3 of well volume with which this vessel is operating has been temporally conceded by Costa Rica.,Manta,NA,NA,P-04-00939,Astillero Industrial Naval de Mazatlán,2000
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14691&Lang=en,Giulietta,Authorized to fishActive,11.4,Barrio La Ensenadita y Calle #4MantaEcuador,HC5283,785,"Elvayka Kyoei, S.A.",6.88,2200,1126,25 Feb 2015,Ecuador,Purse seine,1014,14691,8210481,61.56,NA,NA,NA,Manta,NA,Miya Maru No. 88 - Change to Giulietta notified on 31 Jul 2012 (recorded on 19 Nov 2012)  - Flag at time of change: Ecuador,P-04-00911,"Miho Shipyard Company, Ltd.",1983
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14708&Lang=en,Tuna II,Authorized to fishActive,7.92,Via Guayaquil Daule KM 10 Lote 2MantaEcuador,HC2515,220,"Atunexport, S.A.",4.62,1450,308,12 Jan 2012,Ecuador,Purse seine,441,14708,7043908,54.25,NA,NA,NA,Manta,NA,NA,P-04-00887,NA,1971
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=1471&Lang=en,Don Alvaro,Authorized to fishActive,8,Cdla. Las AcaciasCalle 17  N° 36-13 y Ave. 37MantaEcuador,HC4633,249,"Geopaxi, S.A.",4,850,349,30 Aug 2012,Ecuador,Purse seine,265,1471,8963832,37.55,NA,NA,NA,Manta,Bolivia - Change to Ecuador notified on 9 Jul 2004 (recorded on 31 Aug 2004)  - Vessel name at time of change:  Don Alvaro,Hua Yuan Yu No. 10 - Change to Don Alvaro notified on 11 Mar 1999 (recorded on 11 Mar 1999)  - Flag at time of change: Unknown,P-04-00772,Astilleros Guangdong,1996
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14960&Lang=en,Albamar I,Authorized to fishActive,11.5,Calle El Salado Edif Pescalba Piso 1Redoma Del FerryVenezuela,YYMH,736,"Pesquera Industrial del Alba, S.A.",7.7,3255,1030,1 Jan 2017,Venezuela,Purse seine,1316,14960,8619807,62,NA,NA,NA,Puerto Sucre,NA,NA,APNN-9895,"Astilleros de Murueta, S.A.",1988
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14961&Lang=en,Guayacan,Authorized to fishActive,11.58,Calle Monagas Casa Nro 43Sector Casco CentralPuerto La CruzEstado AnzoateguiVenezuela,YYP-5160,554,"Popeye, C.A.",8.1,1910,775,21 Jun 2012,Venezuela,Purse seine,630,14961,7383786,51.52,NA,NA,NA,Puerto Sucre,NA,NA,APNN-PE-0093,Astilleros Pisca,1984
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=14964&Lang=en,Dorica,Authorized to fishActive,8.5,"Av. La Encalada N° 1257, Oficina 303Santiago de SurcoLimaPerú",OA2538,214,"Pez De Exportacion, S.A.C.",3.7,447,299,1 Jan 2017,Peru,Purse seine,394,14964,9045326,40.75,NA,NA,NA,Callao,NA,NA,CO-10200-PM,NA,1993
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=1513&Lang=en,Maria Isabel,Authorized to fishActive,8.45,Esmeralda 915 entre Hurtado y Av. 09 de OctubreGuayaquilEcuador,HC2533,220,"Corporacion Ecuatoriana de Pesca Ecuaoceánica, S.A",4.15,1025,305,9 Dec 2015,Ecuador,Purse seine,315,1513,7113832,39.13,NA,NA,NA,Guayaquil,NA,Mediterraneo - Change to Maria Isabel notified on 22 Aug 2001 (recorded on 22 Aug 2001)  - Flag at time of change: Ecuador,P-00-00531,Tradeco,1972
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15252&Lang=en,Cap. Danny B,Authorized to fishActive,9.14,Km 3 1/2 Via MantaMontecristiEcuador,HC5250,253,"B & B Tune Suppliers, S.A.",4,1000,356,12 Apr 2013,Ecuador,Purse seine,343,15252,7015121,34.98,"B & B Tune Suppliers, S.A.",Av. 113 s/n y calle 304MantaEcuador,356 m3 of well volume with which this vessel is operating has been temporally conceded by Costa Rica.,Manta,NA,NA,P-04-00894,NA,1970
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15327&Lang=en,Flor,Authorized to fishActive,8.5,"Av. Manuel Olguín No. 501, Oficina 902-BSantiago de SurcoLimaPeru",CO11677,215,"Bluewave Marine Perú, S.A.C.",3.7,600,300,1 Jan 2017,Peru,Purse seine,389,15327,9120542,40.75,NA,NA,NA,Callao,NA,NA,CO-11677-PM,NA,1994
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15556&Lang=en,Maria Jose,Authorized to fishActive,9.61,"Calle Amador Merino Reyna No 307, Piso 12San IsidroPerú",OA-2348,321,"Pesquera Diamante, S.A.",4.42,960,450,1 Jan 2017,Peru,Purse seine,452,15556,8678451,45.44,NA,Calle Amador Merino Reyna No 307 Piso 12San IsidroPerú,NA,Callao,NA,NA,CO-19579-PM,NA,1999
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15557&Lang=en,Don Juan,Authorized to fishActive,11.4,"Calle Amador Merino Reyna No 307, Piso 12San IsidroPerú",OB-RL031,523,"Pesquera Diamante, S.A.",5.4,2000,732,1 Jan 2017,Peru,Purse seine,789,15557,9127332,60.71,NA,Calle Amador Merino Reyna No 307 Piso 12San IsidroPerú,NA,Chimbote,NA,Don Lucho II - Change to Don Juan notified on 10 Apr 2018 (recorded on 10 Apr 2018)  - Flag at time of change: Peru,CE-15791-PM,NA,1996
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15576&Lang=en,Antonio H,Authorized to fishActive,9.75,Km 10.5 Vía a la CostaGuayaquilEcuador,HP4127,224,"Pacific Tuna, S.A.",5.42,1410,314,14 Dec 2016,Ecuador,Purse seine,563,15576,8908686,39.53,NA,NA,NA,Guayaquil,NA,NA,P-00-00880,NA,1989
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15578&Lang=en,Gijón,Authorized to fishActive,13.65,"Calle Central Oriente No. 5Parque IndustrialFrancisco Ramírez Villarreal28219 Manzanillo, ColimaMéxico",XCAF7,1143,"Martuna, S.A. de C.V.",5.9,5000,1600,1 Jan 2017,Mexico,Purse seine,2042,15578,9675511,79.05,NA,"Calle Hamburgo 241Colonia JuárezDelegación Cuauhtémoc, C.P. 06600México, Distrito Federal",NA,Manzanillo,NA,NA,0601190633-3,Gijón Asturias,2013
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15600&Lang=en,Tamara,Authorized to fishActive,13.65,"Av. Puerto de Mazatlan 406 Interior FCol. Alfredo V. Bonfil82050 Mazatlán,  SinaloaMéxico",XCAI7,1177,"Pesca Azteca, S.A. de C. V.",8.67,5071,1648,7 May 2014,Mexico,Purse seine,2042,15600,9675523,79.5,NA,NA,NA,Mazatlan,NA,NA,2503295233-3,Astilleros Armon Vigo S.A.,2013
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15609&Lang=en,Gran Roque,Authorized to fishActive,14.7,"Via La AmistadAlbrook Free Trade ZoneGalera #8Abrook, Panama CityPanama",YYOA,1585,"Pesquera Taurus I, S.A.",9.5,7890,2202,22 May 2014,Venezuela,Purse seine,2860,15609,9698757,91.1,"Atunera Caribe, S.A. (Atuncasa)","Calle el Salado local No 32Sector Puerto SucreCumaná, Estado SucreVenezuelaCódigo postal 6101",NA,Puerto Sucre,NA,NA,APNN-PE-0087,Astilleros Murueta,2014
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15622&Lang=en,Ljubica,Authorized to fishActive,14.35,P.H. Global PlazaCalle 50 Piso 16 Oficina 16GPanamaRepublic of Panama,3EM86,1500,"Pesquera Miriam, S.A.",9.35,4500,2000,26 Jan 2015,Panama,Purse seine,2700,15622,9681584,89.28,NA,NA,2000 m3 of well volume with which this vessel is operating has been loaned by Guatemala.,Vacamonte,NA,NA,47924-16,Astilleros Zamakona,2014
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15623&Lang=en,Txopituna Dos,Authorized to fishActive,13.6,C/ Aranzibia #1 bajo48280 - Lekeitio - BizkaiaEspaña,H8EE,1350,"Txopituna, S.L.",9.05,4400,1881,23 May 2014,Panama,Purse seine,2167,15623,7805966,77.3,NA,NA,1881 m3 of well volume with which this vessel is operating has been temporally conceded by Costa Rica.,Vacamonte,NA,NA,45637-PEXT,H. J. Barreras,1980
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15624&Lang=en,Dalmacia C,Authorized to fishActive,9.75,Avenida BalboaCalle UruguayEdificio Villa del Mar Piso 7Ciudad de PanamáPanamá,HP5683,330,"Dalmacia Mar, S.A.",5.67,1410,454,16 Aug 2017,Panama,Purse seine,563,15624,8908662,35.23,NA,NA,NA,Vacamonte,NA,NA,45822-PEXT,George Town Shipyard,1988
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15625&Lang=en,Bamar VIII,Authorized to fishActive,10.76,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,OA3194,555,"Pesquera Hayduk, S.A.",5.4,2480,650,4 Jun 2014,Peru,Purse seine,656,15625,9133678,57.9,"Pesquera Hayduk, S.A.",Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,Callao,NA,NA,CO-19867-PM,NA,2000
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15626&Lang=en,Isabelita,Authorized to fishActive,10.1,Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,416,"Pesquera Hayduk, S.A.",5,1875,487,4 Jun 2014,Peru,Purse seine,556,15626,8683444,52.68,"Pesquera Hayduk, S.A.",Av. Manuel Olguín No. 501 7 mo pisoDistrito de Santiago de SurcoProvincia de LimaDepartamento de LimaPerú,NA,Chimbote,NA,NA,CE-28791-PM,NA,2008
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15630&Lang=en,Rocinante,Authorized to fishActive,11.58,"Av. Perimetral al lado de sacosal Galpones de PropescaCumaná, Estado SucreVenezuela",YYCS,597,"Flota Industrial Pesca Atunera Caribe, C.A.",8.1,1936,770,22 Aug 2014,Venezuela,Purse seine,630,15630,7369675,51.52,NA,NA,NA,Puerto Sucre,NA,NA,APNN-5590,Picsa Astilleros S.A.,1984
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15641&Lang=en,Camila,Authorized to fishActive,13.65,"Av. Puerto de Mazatlan 406 Interior FCol. Alfredo V. Bonfil82050 Mazatlán,  SinaloaMéxico",XCAK8,1177,"Pesca Azteca, S.A. de C. V.",8.67,5071,1648,29 Oct 2014,Mexico,Purse seine,2042,15641,9685580,79.05,NA,NA,NA,Mazatlan,NA,NA,2503298933-9,NA,2013
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15659&Lang=en,Triton,Authorized to fishActive,6.09,NA,WDG5828,82,NA,2.83,600,115,1 Jan 2017,United States,Purse seine,84,15659,NA,22.55,NA,NA,NA,San Pedro,NA,NA,CF7218UH,"RSL Shipyards, Ltd.",1977
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15661&Lang=en,Oaxaca,Authorized to fishActive,13.65,"Calle Central Oriente #5Parque IndustrialFrancisco Ramírez Villareal28219 Manzanillo, ColimaMéxico",NA,1143,"Maratún, S.A. de C.V.",5.9,5000,1600,1 Jan 2017,Mexico,Purse seine,2042,15661,9698549,79.05,NA,NA,NA,Mazatlan,NA,NA,0601195533-2,NA,2014
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15662&Lang=en,Jocay,Authorized to fishActive,14.7,Av 2 y Calle 12Edificio Banco del PichinchaOctavo Piso Ofic 802MantaEcuador,HC5587,1344,"Pesquera Ugavi, S.A.",9.5,NA,1881,1 Jan 2017,Ecuador,Purse seine,2838,15662,9710983,91.1,NA,NA,NA,Manta,NA,NA,P-04-00965,Astilleros Murueta,2014
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15665&Lang=en,Andrea 1,Authorized to fishActive,13.71,NA,H6A-TFI,1628,"Tumbaco Fishing Industries, S.A.",9.08,3300,2170,11 Jul 2016,Nicaragua,Purse seine,2024,15665,7365227,78.7,NA,NA,"This vessel is operating under a charter agreement between Panama (the ""chartering CPC”) and Nicaragua (the ""charterer CPC”) under the Nicaragua flag and using Nicaragua capacity.",Corinto,United States - Change to Nicaragua notified on 29 Nov 2016 (recorded on 30 Nov 2016)  - Vessel name at time of change:  Andrea,Andrea - Change to Andrea 1 notified on 29 Nov 2016 (recorded on 30 Nov 2016)  - Flag at time of change: United States,026,Esercizio Cantieri,1979
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15666&Lang=en,Paco C.,Authorized to fishActive,13.65,"Av. Puerto de Mazatlan 406 Interior FCol. Alfredo V. Bonfil82050 Mazatlán,  SinaloaMéxico",XCAL9,1177,"Pesca Azteca, S.A. de C. V.",8.67,5071,1648,12 Sep 2014,Mexico,Purse seine,2042,15666,9675535,79.5,NA,NA,NA,Mazatlan,NA,NA,2503299433-8,Astilleros Armon Vigo S.A.,2014
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15669&Lang=en,Provider,Authorized to fishActive,5.63,"3241 Marwick AvenueLong Beach, CA 90808United States",WCW9688,63,"More Carnage, LLC",2.31,422,65,1 Jan 2017,United States,Purse seine,58,15669,NA,14.84,NA,NA,NA,Long Beach,NA,NA,572344,"All Fab, Incorporated",1976
https://www.iattc.org/VesselRegister/VesselDetails.aspx?VesNo=15673&Lang=en,Sea Venture,Authorized to fishActive,7.31,NA,WDH8347,118,NA,3.04,510,165,1 Jan 2017,United States,Purse seine,77,15673,NA,22.4,NA,NA,NA,Seattle,NA,NA,WN4232NW,NA,1977
